Construction Type,New Construction,Elevator,Floors In The Building,Floor Area,Number Of Rooms,Number Of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Children Are Welcome,Pets Allowed,Utility Payments,Duration,Date (Year),Date (Month),Date (Day),Amenities (Status),Appliances (Status),Parking (Status),Price (Usd/Month),Address (Street Types),Address (City/Town)
Panels,No,Yes,9.0,100.0,2.0,1.0,2.0,9.0,Closed Balcony,Not Specified,Partial Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,910.0,Khorenatsi Street,Yerevan
Monolith,Yes,Yes,10.0,130.0,3.0,2.0,3.0,7.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2500.0,Amiryan Street,Yerevan
Monolith,Yes,Yes,18.0,130.0,4.0,3.0,3.0,15.0,Multiple Balconies,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,3800.0,Yekmalyan Street,Yerevan
Stone,No,No,3.0,35.0,2.0,1.0,2.0,1.0,Not Specified,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,598.0,Bryusov Street,Yerevan
Monolith,Yes,Yes,15.0,65.0,2.0,1.0,3.0,9.0,Open Balcony,Not Specified,Designer Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1690.0,Not Specified,Yerevan
Monolith,Yes,Yes,11.0,82.0,3.0,2.0,3.0,10.0,Open Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1170.0,Not Specified,Yerevan
Stone,No,Yes,7.0,91.0,3.0,1.0,2.0,1.0,Open Balcony,Not Specified,Euro Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,572.0,Not Specified,Yerevan
Panels,No,Yes,9.0,98.0,3.0,1.0,3.0,3.0,Open Balcony,Not Specified,Cosmetic Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1040.0,Artsakh Avenue,Yerevan
Monolith,Yes,Yes,5.0,85.0,3.0,1.0,3.0,2.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1500.0,Forest Street,Yerevan
Monolith,Yes,Yes,15.0,56.0,2.0,1.0,3.0,3.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Verin Antarayin Street,Yerevan
Panels,No,Yes,12.0,49.0,2.0,1.0,3.0,11.0,Open Balcony,Not Specified,Old Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,500.0,Not Specified,Yerevan
Panels,No,Yes,9.0,64.0,2.0,1.0,2.0,8.0,Closed Balcony,Not Specified,Old Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,520.0,Arabkir Street,Yerevan
Panels,No,No,4.0,32.0,2.0,1.0,2.0,3.0,Open Balcony,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Not Specified,Yerevan
Stone,No,No,4.0,32.0,1.0,1.0,2.0,2.0,Open Balcony,Not Specified,Euro Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Ajapnyak,Yerevan
Panels,No,No,5.0,54.0,2.0,1.0,3.0,2.0,Closed Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,728.0,Moldovakan Street,Yerevan
Monolith,No,Yes,14.0,82.0,3.0,1.0,3.0,9.0,Closed Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1300.0,Rubiniants Street,Yerevan
Stone,No,Yes,5.0,72.0,2.0,1.0,3.0,3.0,Multiple Balconies,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Tamanyan Street,Yerevan
Panels,No,Yes,9.0,75.0,2.0,1.0,2.0,6.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,910.0,Not Specified,Yerevan
Stone,No,No,5.0,70.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,650.0,Artashisyan Street,Yerevan
Stone,No,No,4.0,33.0,1.0,1.0,2.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Not Specified,Yerevan
Stone,No,No,4.0,30.0,1.0,1.0,2.0,1.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,1.0,Monthly,2023,1,7,Not Specified,Yes,Yes,910.0,Arshakunyats Avenue,Yerevan
Monolith,Yes,Yes,15.0,80.0,3.0,2.0,3.0,10.0,Open Balcony,Not Specified,Designer Renovation,0.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,1690.0,Erebuni Street,Yerevan
Stone,No,Yes,9.0,50.0,2.0,1.0,3.0,1.0,Not Specified,Not Specified,Partial Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,468.0,Bagratunyats Avenue,Yerevan
Panels,No,Yes,9.0,100.0,3.0,1.0,2.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Daily,2023,1,7,Yes,Yes,Yes,1205.0,Not Specified,Yerevan
Stone,No,No,5.0,60.0,2.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Euro Renovation,0.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,710.0,Shengavit,Yerevan
Stone,No,No,5.0,85.0,2.0,1.0,3.0,2.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Zoravar Andranik Street,Yerevan
Panels,No,Yes,9.0,59.0,2.0,1.0,2.0,2.0,Closed Balcony,Partial Furniture,Old Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Not Specified,520.0,Davtashen Street,Yerevan
Stone,Yes,No,3.0,40.0,2.0,2.0,2.0,1.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,546.0,Tigran Mets Avenue,Yerevan
Stone,No,No,5.0,45.0,2.0,1.0,2.0,3.0,Open Balcony,Not Specified,Euro Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Not Specified,Yerevan
Panels,No,Yes,9.0,48.0,1.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,416.0,Ajapnyak,Yerevan
Monolith,Yes,Yes,15.0,40.0,1.0,1.0,2.0,4.0,Not Specified,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,468.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,42.0,1.0,1.0,2.0,8.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,468.0,Mesrop Mashtots Avenue,Yerevan
Panels,No,Yes,9.0,50.0,2.0,1.0,2.0,9.0,Not Specified,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,708.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,10.0,75.0,3.0,1.0,3.0,5.0,Not Specified,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1205.0,Abovyan Street,Yerevan
Stone,No,No,5.0,57.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1105.0,Vardanants Street,Yerevan
Panels,No,Yes,9.0,50.0,2.0,1.0,2.0,7.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1105.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,15.0,75.0,3.0,1.0,3.0,8.0,Not Specified,Not Specified,Designer Renovation,2.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,1500.0,Sayat Nova Avenue,Yerevan
Monolith,Yes,Yes,9.0,100.0,3.0,1.0,3.0,6.0,Closed Balcony,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1500.0,Pushkin Street,Yerevan
Monolith,Yes,Yes,14.0,100.0,3.0,1.0,3.0,10.0,Open Balcony,Not Specified,Euro Renovation,2.0,0.0,1.0,Monthly,2023,1,7,Yes,Yes,Yes,1900.0,Nalbandyan Street,Yerevan
Stone,No,No,5.0,46.0,2.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,650.0,Arshakunyats Avenue,Yerevan
Stone,No,Yes,9.0,80.0,2.0,2.0,3.0,3.0,Open Balcony,Not Specified,Old Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Vardanants Street,Yerevan
Stone,No,No,2.0,100.0,2.0,2.0,2.0,2.0,Open Balcony,Not Specified,Major Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,728.0,Not Specified,Yerevan
Stone,No,No,5.0,40.0,2.0,1.0,3.0,1.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,585.0,Komitas Avenue,Yerevan
Stone,No,No,4.0,76.0,3.0,1.0,3.0,2.0,Open Balcony,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Nikoghayos Adonts Street,Yerevan
Stone,No,No,4.0,32.0,1.0,1.0,2.0,3.0,Open Balcony,Not Specified,Euro Renovation,2.0,2.0,2.0,Monthly,2023,1,7,Yes,Yes,Not Specified,520.0,Arzumanyan Street,Yerevan
Monolith,Yes,No,3.0,100.0,3.0,1.0,3.0,1.0,Multiple Balconies,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,676.0,Mikaelyan Street,Yerevan
Stone,No,Yes,2.0,30.0,2.0,1.0,2.0,2.0,Not Specified,Partial Furniture,Partial Renovation,0.0,0.0,1.0,Monthly,2023,1,7,Yes,Not Specified,Yes,338.0,Shengavit,Yerevan
Panels,No,Yes,9.0,43.0,1.0,1.0,2.0,6.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Hovhannes Shiraz Street,Yerevan
Panels,No,Yes,12.0,82.0,4.0,2.0,2.0,5.0,Closed Balcony,Not Specified,Partial Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Davtashen Street,Yerevan
Monolith,No,Yes,9.0,65.0,2.0,1.0,2.0,3.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,416.0,Ajapnyak,Yerevan
Stone,Yes,No,2.0,48.0,2.0,1.0,2.0,2.0,Closed Balcony,Partial Furniture,Cosmetic Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,390.0,Not Specified,Yerevan
Panels,No,Yes,10.0,65.0,2.0,1.0,2.0,8.0,Open Balcony,Not Specified,Old Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Not Specified,390.0,Zoravar Andranik Street,Yerevan
Monolith,Yes,Yes,6.0,70.0,3.0,1.0,3.0,6.0,Open Balcony,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1000.0,Not Specified,Yerevan
Panels,No,Yes,9.0,100.0,3.0,1.0,2.0,7.0,Multiple Balconies,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Avanarinj Microdistrict,Yerevan
Stone,Yes,No,8.0,103.0,3.0,2.0,3.0,4.0,Open Balcony,Not Specified,Designer Renovation,2.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1200.0,Kentronakan Street,Yerevan
Stone,No,No,4.0,70.0,2.0,1.0,3.0,3.0,Closed Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,832.0,Not Specified,Yerevan
Panels,No,Yes,12.0,56.0,2.0,1.0,2.0,10.0,Multiple Balconies,Not Specified,Old Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Arabkir Street,Yerevan
Stone,No,Yes,7.0,50.0,2.0,1.0,2.0,1.0,Not Specified,Not Specified,Cosmetic Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Nairi Zaryan Street,Yerevan
Panels,No,Yes,13.0,75.0,3.0,1.0,2.0,4.0,Open Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,728.0,Sisakyan Street,Yerevan
Monolith,Yes,Yes,10.0,81.0,2.0,1.0,2.0,4.0,Closed Balcony,Partial Furniture,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Not Specified,Yerevan
Stone,No,No,1.0,50.0,1.0,1.0,3.0,1.0,Not Specified,Not Specified,Major Renovation,2.0,0.0,1.0,Monthly,2023,1,7,Yes,Yes,Not Specified,520.0,Artashes Shahinyan Street,Yerevan
Monolith,Yes,Yes,15.0,80.0,2.0,1.0,3.0,5.0,Open Balcony,Not Specified,Designer Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2200.0,Erebuni Street,Yerevan
Stone,No,No,4.0,35.0,1.0,1.0,3.0,4.0,Open Balcony,Not Specified,Euro Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,832.0,Not Specified,Yerevan
Monolith,Yes,Yes,10.0,100.0,2.0,2.0,3.0,5.0,Open Balcony,Not Specified,Cosmetic Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1500.0,Kentronakan Street,Yerevan
Monolith,Yes,Yes,14.0,35.0,1.0,1.0,3.0,14.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Daily,2023,1,7,Yes,Yes,Yes,936.0,Argishti Street,Yerevan
Monolith,Yes,Yes,10.0,170.0,4.0,2.0,3.0,5.0,Open Balcony,Partial Furniture,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Not Specified,Yes,2800.0,Rostom Street,Yerevan
Panels,No,Yes,12.0,90.0,3.0,1.0,3.0,2.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,988.0,Kentronakan Street,Yerevan
Panels,No,Yes,9.0,68.0,2.0,1.0,3.0,9.0,Closed Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1100.0,Kentronakan Street,Yerevan
Stone,No,Yes,5.0,30.0,1.0,1.0,2.0,1.0,Not Specified,Not Specified,Cosmetic Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Not Specified,Yerevan
Monolith,Yes,Yes,5.0,72.0,2.0,1.0,2.0,2.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,784.0,Verin Antarayin Street,Yerevan
Monolith,Yes,Yes,9.0,60.0,2.0,1.0,3.0,2.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1040.0,Nikoghayos Adonts Street,Yerevan
Panels,No,Yes,9.0,60.0,2.0,1.0,2.0,5.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1105.0,Tumanyan Street,Yerevan
Monolith,Yes,Yes,19.0,45.0,2.0,1.0,3.0,17.0,Open Balcony,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Byuzand Street,Yerevan
Monolith,Yes,Yes,15.0,98.0,3.0,1.0,3.0,8.0,Open Balcony,Not Specified,Major Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1200.0,Sayat Nova Avenue,Yerevan
Monolith,Yes,Yes,12.0,50.0,2.0,1.0,2.0,11.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Not Specified,951.0,Chekhov Street,Yerevan
Stone,No,Yes,5.0,80.0,3.0,1.0,3.0,4.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Komitas Avenue,Yerevan
Stone,No,Yes,5.0,67.0,2.0,1.0,3.0,5.0,Not Specified,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Kentronakan Street,Yerevan
Panels,No,Yes,10.0,43.0,2.0,1.0,2.0,9.0,Closed Balcony,Not Specified,Major Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Viktor Hambardzumyan Street,Yerevan
Monolith,Yes,Yes,21.0,115.0,3.0,2.0,3.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1800.0,Not Specified,Yerevan
Stone,No,No,5.0,45.0,1.0,1.0,2.0,3.0,Not Specified,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,819.0,Avag Petrosyan Street,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,2.0,2.0,Closed Balcony,Not Specified,Major Renovation,2.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,858.0,Gyulbenkyan Street,Yerevan
Monolith,Yes,Yes,14.0,54.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1100.0,Leningradyan Street,Yerevan
Monolith,No,Yes,9.0,45.0,1.0,1.0,2.0,4.0,Closed Balcony,Not Specified,Old Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Not Specified,Yerevan
Monolith,No,Yes,5.0,50.0,2.0,1.0,2.0,2.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Magaryan Street,Yerevan
Monolith,Yes,Yes,15.0,100.0,3.0,1.0,3.0,8.0,Open Balcony,Not Specified,Major Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1200.0,Sayat Nova Avenue,Yerevan
Monolith,No,Yes,9.0,50.0,2.0,1.0,2.0,3.0,Closed Balcony,Not Specified,Old Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1040.0,Koryun Street,Yerevan
Stone,No,No,4.0,65.0,2.0,1.0,3.0,2.0,Not Specified,Not Specified,Cosmetic Renovation,0.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,442.0,Mikoyan Street,Yerevan
Panels,No,No,4.0,34.0,2.0,1.0,2.0,2.0,Closed Balcony,Not Specified,Euro Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,520.0,Sharuri Street,Yerevan
Panels,No,Yes,9.0,37.0,1.0,1.0,2.0,4.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,481.0,Mesrop Mashtots Avenue,Yerevan
Monolith,Yes,Yes,12.0,45.0,2.0,1.0,2.0,2.0,Open Balcony,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,481.0,Chekhov Street,Yerevan
Monolith,Yes,Yes,14.0,70.0,2.0,1.0,3.0,12.0,Open Balcony,Not Specified,Designer Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1500.0,Khorenatsi Street,Yerevan
Monolith,Yes,Yes,11.0,130.0,3.0,1.0,2.0,10.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1222.0,Amiryan Street,Yerevan
Monolith,No,Yes,5.0,135.0,3.0,1.0,2.0,5.0,Open Balcony,Not Specified,Designer Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Not Specified,Yes,1144.0,Hin Yerevantsu Street,Yerevan
Panels,No,Yes,12.0,50.0,2.0,1.0,2.0,11.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,660.0,Yeznik Koghbaci Street,Yerevan
Panels,No,Yes,10.0,60.0,2.0,1.0,2.0,5.0,Not Specified,Not Specified,Designer Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1150.0,Amiryan Street,Yerevan
Panels,No,Yes,9.0,60.0,2.0,1.0,2.0,7.0,Not Specified,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1350.0,Saryan Street,Yerevan
Stone,No,No,5.0,60.0,2.0,1.0,2.0,2.0,Not Specified,Not Specified,Euro Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1000.0,Paronyan Street,Yerevan
Stone,No,No,3.0,85.0,3.0,1.0,3.0,3.0,Multiple Balconies,Not Specified,Old Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,468.0,Firdusi Street,Yerevan
Monolith,Yes,Yes,5.0,55.0,2.0,1.0,2.0,4.0,Not Specified,Not Specified,Major Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,780.0,Bagratunyats Avenue,Yerevan
Panels,No,Yes,9.0,100.0,4.0,1.0,2.0,3.0,Not Specified,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,520.0,Badal Muradyan Street,Yerevan
Stone,No,Yes,6.0,72.0,2.0,1.0,2.0,6.0,Closed Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1200.0,Nalbandyan Street,Yerevan
Bricks,No,No,1.0,35.0,1.0,1.0,2.0,1.0,Not Specified,Partial Furniture,Major Renovation,2.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,312.0,Davtashen Street,Yerevan
Panels,Yes,Yes,12.0,37.0,1.0,1.0,2.0,5.0,Closed Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Shengavit,Yerevan
Stone,No,No,5.0,50.0,2.0,1.0,3.0,3.0,Not Specified,Not Specified,Designer Renovation,1.0,2.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,637.0,Pushkin Street,Yerevan
Monolith,Yes,Yes,18.0,97.0,3.0,1.0,3.0,7.0,Multiple Balconies,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,1612.0,Hrachya Nersisyan Street,Yerevan
Stone,No,No,5.0,55.0,2.0,1.0,2.0,3.0,Not Specified,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,858.0,Tumanyan Street,Yerevan
Stone,Yes,Yes,15.0,90.0,3.0,2.0,3.0,4.0,Multiple Balconies,Not Specified,No Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2000.0,Vagharsh Vagharshyan Street,Yerevan
Panels,No,Yes,16.0,55.0,2.0,1.0,2.0,1.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,858.0,Agayan Street,Yerevan
Panels,No,No,5.0,45.0,1.0,1.0,2.0,1.0,Not Specified,Not Specified,Old Renovation,2.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Not Specified,364.0,Nansen Street,Yerevan
Panels,Yes,Yes,14.0,90.0,3.0,1.0,3.0,3.0,Closed Balcony,Not Specified,Cosmetic Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Yes,520.0,Gusan Sheram Street,Yerevan
Stone,No,No,4.0,115.0,3.0,1.0,3.0,2.0,Multiple Balconies,Not Specified,Major Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,2500.0,Moskovyan Street,Yerevan
Monolith,Yes,Yes,15.0,43.0,2.0,1.0,3.0,10.0,Open Balcony,Not Specified,Euro Renovation,1.0,2.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,637.0,Argishti Street,Yerevan
Panels,No,Yes,9.0,105.0,4.0,2.0,2.0,5.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Not Specified,Yes,Yes,1040.0,Not Specified,Yerevan
Panels,No,No,4.0,70.0,3.0,1.0,2.0,3.0,Closed Balcony,Not Specified,Euro Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,650.0,Lepsius Street,Yerevan
Stone,No,No,5.0,72.0,2.0,1.0,2.0,5.0,Open Balcony,Not Specified,Euro Renovation,1.0,0.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,910.0,Tumanyan Street,Yerevan
Panels,No,Yes,11.0,50.0,2.0,1.0,2.0,11.0,Not Specified,Not Specified,Major Renovation,1.0,1.0,1.0,Daily,2023,1,7,Yes,Yes,Yes,1345.0,Yeznik Koghbatsi Street,Yerevan
Stone,No,No,5.0,75.0,3.0,1.0,2.0,3.0,Open Balcony,Not Specified,Major Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1170.0,Yeznik Koghbaci Street,Yerevan
Panels,No,Yes,9.0,80.0,3.0,1.0,2.0,8.0,Closed Balcony,Partial Furniture,Cosmetic Renovation,1.0,2.0,0.0,Monthly,2023,1,7,Not Specified,Not Specified,Not Specified,650.0,Gai Avenue,Yerevan
Monolith,Yes,Yes,16.0,82.0,3.0,1.0,3.0,7.0,Open Balcony,Not Specified,Euro Renovation,1.0,1.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,1300.0,Not Specified,Yerevan
Stone,No,No,4.0,67.0,3.0,1.0,2.0,3.0,Open Balcony,Not Specified,Designer Renovation,1.0,0.0,2.0,Monthly,2023,1,7,Yes,Yes,Yes,910.0,Frunze Street,Yerevan
Stone,No,No,5.0,90.0,3.0,2.0,2.0,3.0,Not Specified,Not Specified,Designer Renovation,1.0,0.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,1500.0,Marshal Baghramyan Avenue,Yerevan
Panels,No,Yes,7.0,80.0,3.0,1.0,2.0,1.0,Closed Balcony,Not Specified,Euro Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,780.0,Aram Khachatryan Street,Yerevan
Stone,No,No,5.0,62.0,3.0,1.0,2.0,4.0,Open Balcony,Not Specified,Euro Renovation,1.0,1.0,0.0,Monthly,2023,1,7,Yes,Yes,Yes,990.0,Vahram Papazyan Street,Yerevan
